route,eta,eta_prime,eta_prime_over_eta,scale,delta,quartic_budget,T,alpha,beta,rho0,theta_radius,w_radius,r_max,stability_aux_squared,zeta,replicates,mse,mse_standard_error,mse_ci95_low,mse_ci95_high,mean_theta,mean_w,target_theta,target_w,quartic_normalized_mse,cubic_normalized_mse
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,4,494,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.5554064279028297,0.002144741233129372,0.5512027350858961,0.5596101207197632,0.254918935669324,0.4418968881217257,1.0,0.4472135954999579,0.35818882918906153,1.1939627639635384
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,8,988,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.47353138032619146,0.003364217389586895,0.46693751424260116,0.48012524640978177,0.3124115313354796,0.4434372817505418,1.0,0.4472135954999579,0.5494772927804676,1.831590975934892
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,16,1976,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.4515990817084105,0.003442351300638865,0.4448520731591583,0.4583460902576627,0.3286120602571411,0.4530033113119777,1.0,0.4472135954999579,0.9524040615154156,3.1746802050513847
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,32,3951,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.4499163386650523,0.003234205639818152,0.4435772956110087,0.4562553817190959,0.3297847425767213,0.4414145044613137,1.0,0.4472135954999579,1.738560427731975,5.79520142577325
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,4,1708,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.4835564804468045,0.002038834852200924,0.47956036413649067,0.4875525967571183,0.3048133609593813,0.3881628128736444,1.0,0.38297084310253526,0.2599196148476678,1.181452794762126
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,8,3416,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.44725789748545774,0.0024332679746392125,0.4424886922551649,0.4520271027157506,0.3315399197063176,0.3853196648056663,1.0,0.38297084310253526,0.4398737039112388,1.9994259268692671
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,16,6831,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.4486922649223085,0.0024228699993661344,0.4439434397235509,0.45344109012106615,0.33046466607587427,0.3812500796365217,1.0,0.38297084310253526,0.8131932034836952,3.696332743107705
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,32,13661,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.4494426036108723,0.0025670250471305344,0.44441123451849646,0.45447397270324813,0.3299436423719173,0.38410193606651377,1.0,0.38297084310253526,1.5104356891577635,6.865616768898924
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,4,6104,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.4493812913421249,0.0018138517201182647,0.4458261419706931,0.4529364407135567,0.3298152216021798,0.32958835008581233,1.0,0.32659863237109044,0.2062287473428196,1.2889296708926226
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,8,12208,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.44746136869335096,0.0020496213050337393,0.4434441109354848,0.4514786264512171,0.33129664330751163,0.3292258692772724,1.0,0.32659863237109044,0.3804465646634095,2.3777910291463096
