eta,delta,scale,T,alpha,mixing_time,mass,mean,second_moment,mse,normalized_budget,normalized_mse,mixing_adjusted_mse
0.4,0.2,1.0,25600,0.003964994801642474,10,1.0000000000055955,1.0078616072782813,1.0411176202995134,0.025394405748546234,4096,10.24744072321175,0.33056260397457254
0.4,0.2,1.0,51200,0.002117873894938841,11,1.000000000011191,1.004185353331793,1.0216927860348066,0.013322079382411589,8192,10.064493010087403,0.29601450029668835
0.4,0.2,1.0,102400,0.001126626148160631,12,1.000000000022382,1.0022225053816127,1.011463957044628,0.0070189463037846345,16384,9.968092880136343,0.2694079156793606
0.4,0.2,1.0,204800,0.0005971579128392612,14,1.0000000000447642,1.001176906546484,1.006055109830718,0.003701296782514296,32768,9.917100191916804,0.23063023702132102
0.28,0.14,1.0,52245,0.002970542256093583,16,0.9999999999943812,1.0148047430116574,1.0623094631125582,0.03269997708362471,4096,12.329053477873128,0.25161333628312504
0.28,0.14,1.0,104490,0.001580035850631799,18,0.9999999999887619,1.0078276701694302,1.0325192949655304,0.016863954615431886,8192,11.95392443894943,0.21734408070817146
0.28,0.14,1.0,208980,0.0008374006137103725,20,0.9999999999775236,1.0041353934557715,1.0170629499907742,0.008792163056754787,16384,11.759273234747317,0.19277497106143143
0.28,0.14,1.0,417960,0.00044239173282879546,22,0.9999999999550473,1.0021810079566351,1.0089665654494993,0.004604549491276311,32768,11.65730516086577,0.1739896292666533
0.2,0.1,1.0,102400,0.002253252296321262,25,1.0000000000079936,1.0245510075677207,1.093273866003078,0.04417185087563036,4096,15.68287792636337,0.20635365692583382
0.2,0.1,1.0,204800,0.0011943158256785223,28,1.0000000000159872,1.0128829746682935,1.0480243920069836,0.022258442686383884,8192,14.90958569437914,0.17540689052210753
0.2,0.1,1.0,409600,0.0006310028708061868,30,1.0000000000319744,1.0067705716546702,1.0249909634764647,0.011449820199098681,16384,14.516346253030608,0.15952028849484184
0.2,0.1,1.0,819200,0.00033242394418871483,33,1.0000000000639488,1.0035568911617414,1.013061171718416,0.005947389458881958,32768,14.312782368061105,0.14312782368061105
0.14,0.07,1.0,208980,0.001674801227420745,38,0.9999999999720857,1.0401288792355627,1.1449188696844925,0.0646611111854527,4096,21.620608864503026,0.18800529447393935
0.14,0.07,1.0,417960,0.0008847834656575909,43,0.9999999999441715,1.020845729373178,1.0731166939372754,0.03142523513509077,8192,19.889761007877226,0.15299816159905558
0.14,0.07,1.0,835919,0.00046608371637197216,47,0.9999999998883433,1.0108847193939625,1.0376134332133629,0.01584399431378114,16384,19.036573267958502,0.13406037512646832
0.14,0.07,1.0,1671837,0.00024488775226601457,51,0.9999999997766866,1.0056926204377301,1.0195201000078404,0.008134858909066844,32768,18.60248602440885,0.12079536379486266
0.1,0.05,1.0,409600,0.0012620057416123736,57,0.9999999999805933,1.0625860513414462,1.223600963171657,0.09842886046935773,4096,31.197595137277997,0.18138136707719765
0.1,0.05,1.0,819200,0.0006648478883774297,63,0.9999999999611866,1.0320977379263303,1.1096582101753119,0.04546273428383785,8192,27.352262121063678,0.14395927432138778
0.1,0.05,1.0,1638400,0.0003493464678754566,69,0.9999999999223732,1.0166329811984036,1.0555704156053736,0.02230445313093954,16384,25.538489931309304,0.12278120159283319
0.1,0.05,1.0,3276800,0.00018313449950638436,76,0.9999999998447464,1.0086563779799156,1.0285924142481524,0.011279658133067638,32768,24.63688308531821,0.10758464229396598
0.07,0.035,1.0,835919,0.0009321674327439443,87,0.9999999999501532,1.0997705175110857,1.3652038381057452,0.16566280303372705,4096,49.76100131808098,0.18992748594687398
0.07,0.035,1.0,1671837,0.0004897755045320291,96,0.9999999999003066,1.05018837536932,1.1708845707785336,0.07050781994020028,8192,40.308650393039464,0.13947629893785282
0.07,0.035,1.0,3343674,0.00025673352228661997,105,0.999999999800613,1.025730763271667,1.0846180996451809,0.03315657290245988,16384,36.161387613122805,0.11443477092760382
0.07,0.035,1.0,6687347,0.00013428966623476611,114,0.9999999996012261,1.0133055912729334,1.0430008468718133,0.01638966392717256,32768,34.17318717276138,0.09963028330251131
