route,sampling,n,d,T,alpha,replicates,eta1,feature_normalization,initial_parameter_mse,parameter_mse,parameter_mse_standard_error,initial_value_rmse,value_rmse,value_rmse_standard_error,finite
zero_reward_negative_control,markov,100,20,15000,0.009375,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,15.869450448641379,0.0,0.7491662031885848,0.7491662031885848,0.0,True
zero_reward_negative_control,markov,100,20,50000,0.0029411764705882353,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,15.869450448641379,0.0,0.7491662031885848,0.7491662031885848,0.0,True
zero_reward_negative_control,markov,100,20,150000,0.0009933774834437086,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,15.869450448641379,0.0,0.7491662031885848,0.7491662031885848,0.0,True
