route,sampling,n,d,T,alpha,replicates,eta1,feature_normalization,initial_parameter_mse,parameter_mse,parameter_mse_standard_error,initial_value_rmse,value_rmse,value_rmse_standard_error,finite
paper_scale_double_chain,iid,50,5,15000,0.009375,6,0.011761551285323793,2.3170011527512115,5.368494341850443,0.03610063773534337,0.008971928394701878,0.7491662031885848,0.05019107298174972,0.008972528696938981,True
paper_scale_double_chain,iid,50,5,50000,0.0029411764705882353,6,0.011761551285323793,2.3170011527512115,5.368494341850443,0.031308981073534525,0.010987968423884147,0.7491662031885848,0.05163467721837841,0.010323311328868646,True
paper_scale_double_chain,iid,50,5,150000,0.0009933774834437086,6,0.011761551285323793,2.3170011527512115,5.368494341850443,0.008260640145269529,0.0030868401631582412,0.7491662031885848,0.026042687781258844,0.0059925344781310355,True
paper_scale_double_chain,markov,50,5,15000,0.009375,6,0.011761551285323793,2.3170011527512115,5.368494341850443,0.26629628543187267,0.06312956674063386,0.7491662031885848,0.21449658298836546,0.022298794579393415,True
paper_scale_double_chain,markov,50,5,50000,0.0029411764705882353,6,0.011761551285323793,2.3170011527512115,5.368494341850443,0.30328562728740766,0.11424931195467218,0.7491662031885848,0.1667169044620416,0.03749027782001018,True
paper_scale_double_chain,markov,50,5,150000,0.0009933774834437086,6,0.011761551285323793,2.3170011527512115,5.368494341850443,0.04620741048912214,0.01911535497891269,0.7491662031885848,0.060950409796219795,0.019097385803842345,True
paper_scale_double_chain,iid,100,20,15000,0.009375,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,1.0589958497517276,0.12104691008663203,0.7491662031885848,0.1872372257887137,0.010946417269405163,True
paper_scale_double_chain,iid,100,20,50000,0.0029411764705882353,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,0.33443423610314066,0.04924159853026003,0.7491662031885848,0.10384985209260557,0.00879063143775836,True
paper_scale_double_chain,iid,100,20,150000,0.0009933774834437086,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,0.11018271835204047,0.012993796077781998,0.7491662031885848,0.05824635417735013,0.006090814741209769,True
paper_scale_double_chain,markov,100,20,15000,0.009375,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,1.117562549096433,0.43420978298594337,0.7491662031885848,0.17358712796602824,0.041508627467986906,True
paper_scale_double_chain,markov,100,20,50000,0.0029411764705882353,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,0.3968052557430439,0.11800151482127443,0.7491662031885848,0.1177885811895265,0.017104207882888522,True
paper_scale_double_chain,markov,100,20,150000,0.0009933774834437086,6,0.0019629621945459813,3.9836478821102372,15.869450448641379,0.1501965009538434,0.0491565694320867,0.7491662031885848,0.08577959016960623,0.012894847566100874,True
paper_scale_double_chain,iid,1000,100,15000,0.009375,6,0.00013303759240652438,8.144984466633575,66.34077196170223,33.16402434635703,0.25849923636228384,0.7491662031885848,0.5250048911841283,0.002290964494857291,True
paper_scale_double_chain,iid,1000,100,50000,0.0029411764705882353,6,0.00013303759240652438,8.144984466633575,66.34077196170223,24.704758269940324,0.22198684868716248,0.7491662031885848,0.452296017692621,0.002212595814821964,True
paper_scale_double_chain,iid,1000,100,150000,0.0009933774834437086,6,0.00013303759240652438,8.144984466633575,66.34077196170223,18.707926504576548,0.1891884002413578,0.7491662031885848,0.3931307411220865,0.0021186039769915633,True
paper_scale_double_chain,markov,1000,100,15000,0.009375,6,0.00013303759240652438,8.144984466633575,66.34077196170223,34.818733338036715,0.7356299430931572,0.7491662031885848,0.5395576690825373,0.005822774670934782,True
paper_scale_double_chain,markov,1000,100,50000,0.0029411764705882353,6,0.00013303759240652438,8.144984466633575,66.34077196170223,25.561904671577505,0.8891525898621017,0.7491662031885848,0.46281082389321004,0.006800912927555479,True
paper_scale_double_chain,markov,1000,100,150000,0.0009933774834437086,6,0.00013303759240652438,8.144984466633575,66.34077196170223,19.600007391411513,0.6731131420832753,0.7491662031885848,0.4028020050441219,0.007118071908288588,True
