route,eta,eta_prime,eta_prime_over_eta,scale,delta,quartic_budget,T,alpha,beta,rho0,theta_radius,w_radius,r_max,stability_aux_squared,zeta,replicates,mse,mse_standard_error,mse_ci95_low,mse_ci95_high,mean_theta,mean_w,target_theta,target_w,dirichlet,mean_feature_squared,projected_root_residual,quartic_normalized_mse,cubic_normalized_mse
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,4,494,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.006409453239706157,0.0002364069346076726,0.005946095647875118,0.006872810831537195,0.254918935669324,0.4418968881217257,0.3333333333333333,0.4472135954999579,0.09999999999999999,0.19999999999999998,0.0,0.004133539758157144,0.013778465860523814
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,8,988,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.001191199884608815,0.00014623846766443588,0.0009045724879865207,0.0014778272812311093,0.3124115313354796,0.4434372817505418,0.3333333333333333,0.4472135954999579,0.09999999999999999,0.19999999999999998,0.0,0.0013822469110798528,0.004607489703599509
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,16,1976,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.0008596064957097475,0.00011514473306663481,0.0006339228188991432,0.0010852901725203518,0.3286120602571411,0.4530033113119777,0.3333333333333333,0.4472135954999579,0.09999999999999999,0.19999999999999998,0.0,0.001812875072114545,0.006042916907048484
paper_eq17,0.3,0.39999999999999997,1.3333333333333333,0.8944271909999159,0.25,32,3951,0.009375,0.009375,1.0,3.162277660168379,1.1,0.32360679774997897,0.006787628304625599,0.15,128,0.0007404398784585013,9.720399531009535e-05,0.0005499200476507145,0.0009309597092662881,0.3297847425767213,0.4414145044613137,0.3333333333333333,0.4472135954999579,0.09999999999999999,0.19999999999999998,0.0,0.002861197429775884,0.009537324765919612
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,4,1708,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.0010854061704239988,9.184514208061291e-05,0.0009053896919459975,0.001265422648902,0.3048133609593813,0.3881628128736444,0.33333333333333337,0.38297084310253526,0.07333333333333335,0.1466666666666667,0.0,0.0005834237884873582,0.0026519263113061733
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,8,3416,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.0004222348716589517,5.5268658002353654e-05,0.00031390830197433855,0.0005305614413435648,0.3315399197063176,0.3853196648056663,0.33333333333333337,0.38297084310253526,0.07333333333333335,0.1466666666666667,0.0,0.000415263806321382,0.0018875627560062816
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,16,6831,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.0004229308012519799,5.304111515070442e-05,0.0003189702155565992,0.0005268913869473605,0.33046466607587427,0.3812500796365217,0.33333333333333337,0.38297084310253526,0.07333333333333335,0.1466666666666667,0.0,0.0007665040831082175,0.0034841094686737157
paper_eq17,0.22,0.2933333333333334,1.3333333333333335,0.7659416862050705,0.25,32,13661,0.006875,0.006875,1.0,3.6927447293799815,1.1,0.29148542155126766,0.003732866356815153,0.11,128,0.00047857121787309046,5.350200913901823e-05,0.00037370727996061473,0.0005834351557855662,0.3299436423719173,0.38410193606651377,0.33333333333333337,0.38297084310253526,0.07333333333333335,0.1466666666666667,0.0,0.0016083278297868186,0.0073105810444855385
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,4,6104,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.00024603125614236005,2.986111365233601e-05,0.00018750347338378147,0.0003045590389009386,0.3298152216021798,0.32958835008581233,0.3333333333333333,0.32659863237109044,0.053333333333333344,0.10666666666666669,0.0,0.00011290794418673446,0.0007056746511670905
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,8,12208,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.0003013375478109001,4.04044651706878e-05,0.000222144796076352,0.0003805302995454482,0.33129664330751163,0.3292258692772724,0.3333333333333333,0.32659863237109044,0.053333333333333344,0.10666666666666669,0.0,0.00025620722343813897,0.001601295146488369
